file,type,citation,lat,long
samples\samples_for_demo\Cubs_Puma_concolor_capricornensis_Atlantic_Forest_Brazil.webm.480p.vp9.mp4,video,"""Cubs Puma concolor capricornensis Atlantic Forest Brazil.webm."" Wikimedia Commons, https://commons.wikimedia.org/wiki/File:Cubs_Puma_concolor_capricornensis_Atlantic_Forest_Brazil.webm. ",-19.002503927461845,-40.148749442464
samples\samples_for_demo\photo_2026-07-19_22-22-56 (2).jpg,image,my photo,19.4118279851171,-99.1981106377671
samples\samples_for_demo\photo_2026-07-19_22-22-56.jpg,image,my photo,19.3439332336483,-96.462436705627
samples\samples_for_demo\photo_2026-07-19_22-22-57.jpg,image,my photo,19.2939646795455,-99.0999660345077
samples\samples_for_demo\XC698513 - Bewick's Wren - Thryomanes bewickii mexicanus.mp3,audio_bird,"Manuel Grosselet, XC698513. Accessible at www.xeno-canto.org/698513.",19.3551,-99.0467
samples\samples_for_demo\Grabacion_notas_triunfo.m4a,audio_record,my audio,15.6647498583496,-92.8428407469276
